stop_name,stop_id,stop_desc,stop_lat,stop_lon
Al Banhawi Bus Station,weddings.workflow.examples,,30.05738,31.26046
Al Barageel Entrance,nipping.restores.dodges,,30.06439,31.16148
Al Barageel Steps - Ring Road,deriving.pump.floating,,30.076935,31.179018
Al Barageel Steps - Ring Road,luck.stunts.rewrites,,30.077274,31.179132
Al Basateen Al Emomy,bracing.stadium.education,,29.989283,31.267546
Al Basrawy Imbaba Bus Station,letters.quietest.bouncing,,30.083326,31.2064
Al Batal Ahmed - Saheb Al Diwan,fried.snuck.reason,,30.216969,31.354765
Al Behiry Stone - Basateen,activity.pushover.coach,,29.988531,31.271383
Al Behiry Stone - Basateen,steady.nurses.pelted,,29.988571,31.271852
Al Bibany St,option.handed.shudders,,30.034868,31.25552
Al Bibany St,steep.whirlpool.edits,,30.034882,31.255587
Al Bohi Imbaba Bus Station,active.hindered.reclined,,30.08783,31.212393
Al Bohi Imbaba Bus Station,erupts.threaten.wrenching,,30.087969,31.212423
Al Bosta Steps - Ring Road,mural.sonic.rainfall,,30.11304,31.203129
Al Central St - Abou Al Farag St,meatball.hence.flocking,,30.074373,31.23372
Al Checheeny St,conductor.desktops.loopholes,,29.998724,31.142818
Al Dandarawy - Basateen Rd,concerned.timeless.skewed,,29.998434,31.265287
Al Darb Al Ahmar Police Station,partners.golden.grouping,,30.038025,31.251856
Al Darrasa Bus Station,behave.tickles.duplicate,,30.047348,31.270027
Al Dawagen - Maadi,embedded.line.incensed,,29.879644,31.28941
Al Dawagen - Maadi,squirted.flaked.shakes,El Dawajen - Maadi 'Southbound',29.87965,31.289314
Al Demerdash Hospital,adapt.toothpick.repelled,,30.071589,31.27647
Al Demerdash Hospital,sketches.adding.detonated,,30.07151,31.276516
Al Demerdash Metro Station,data.duos.shirtless,,30.076593,31.277029
Al Demerdash Metro Station,foil.straying.elsewhere,,30.077461,31.276802
Al Demerdash Metro Station,storybook.modem.suitable,,30.0774,31.276953
Al Dokki Square,kettles.shred.pebbles,,30.038311,31.211502
Al Dokki Square,vision.avoiding.crispier,,30.038116,31.211128
Al Eman Mosque,boomed.tall.intrigued,,30.064728,31.344893
Al Eman Mosque,halt.snips.fidgeting,,30.064705,31.344683
Al Farag Butchery - Magra Al Oyoun,earphones.severe.surround,,30.021412,31.235706
Al Farag Butchery - Magra Al Oyoun,office.wriggled.chambers,,30.021336,31.235683
Al Faragany - Ain Shams St,vans.strictest.gratuity,,30.117764,31.31749
Al Fath Mosque - Mansheyyet Al Gamal St,icebergs.generated.basis,,30.097773,31.249105
Al Fath Mosque - Mansheyyet Al Gamal St,mistaken.riots.skid,,30.09789,31.249075
Al Fath Schools - Abou Al Nomros,loft.survey.contained,,29.964838,31.21103
Al Fath Superjet,airship.plotting.shuttled,,30.046207,31.307924
Al Fath Superjet,folk.power.array,,30.046257,31.308014
Al Fath Superjet,golden.loafing.dimension,,30.04619,31.307695
Al Fath Superjet,quilt.weeps.heeding,,30.046215,31.307783
Al Fayoum Road,denim.fired.cutlets,,29.947035,31.099562
Al Fayrouz Medical Center - Helwan,paramedic.plenty.beakers,,29.84326,31.303904
Al Fayrouz Medical Center - Helwan,repay.weeps.piston,,29.84321,31.303768
Al Fouad Hospital - Abasseya,recruiter.dominate.handicaps,,30.078667,31.277546
Al Gabal Al Asfar - Marg,tucked.browser.jelly,,30.203571,31.355211
Al Galaa Bridge,allow.reliving.swordfish,,30.095953,31.342318
Al Galaa Bridge,deprive.narrates.bandstand,,30.094833,31.342402
Al Galaa Bridge,lasted.apples.bulbs,,30.09476,31.342104
Al Galaa Military Hospital,recipient.mystified.type,,30.099928,31.350761
Al Galaa Military Hospital,report.delays.coasters,,30.10023,31.35057
Al Gamaia Al Sharaia,tall.represent.artichoke,,30.04764,31.31393
Al Gamaleya Youth Center,chart.headstone.printout,,30.050003,31.268854
Al Gamaleya Youth Center,peach.fall.openly,,30.049973,31.268959
Al Garage - Sawah,rant.outbound.stockpile,,30.105597,31.2816
Al Gazareen - Gamal Abd El Nasser St - Warraq,chainsaw.plums.gifts,,30.101063,31.222471
Al Gazareen - Gamal Abd El Nasser St - Warraq,gazes.adverbs.saturate,,30.101206,31.222555
Al Geish Square,gender.movie.arose,,30.062183,31.267786
Al Geish Square,moped.assures.health,,30.062384,31.267963
Al Gezeera - Moqattam,fruitcake.inflates.grows,,30.010698,31.303282
Al Gezeera - Moqattam,stumble.rested.uttering,,30.01081,31.303375
Al Gezira Steps - October Bridge,acid.alone.factoring,,30.04906,31.226988
Al Gezira Steps - October Bridge,chatters.ditching.crockery,,30.049189,31.226954
Al Gomhoreyya - Al Masraf,measure.skinning.nitrogen,,30.175446,31.347479
Al Gomhoreyya - Howd Al Shaikh,material.televise.galaxies,,30.187437,31.351437
Al Habib Mosque - Barageel,measuring.passion.holds,,30.073574,31.169323
Al Hamd Square,infinite.plankton.arrow,,30.001915,31.422941
Al Hamd Square,rocket.bronzer.mothering,,30.002216,31.423113
Al Haq Hospital - Arbean St,duties.stumps.monopoly,,30.133135,31.314157
Al Hawamdeya General Hospital,capacity.cases.according,,29.887955,31.272583
Al Hawamdeya General Hospital,nearly.stag.pylon,,29.887932,31.27242
Al Hawamdeya Traffic Authority,gains.regretted.coupler,,29.905104,31.268637
Al Hawamdeya Traffic Authority,inhabited.palace.braked,,29.905119,31.268744
Al Hawamdeyya Bus Station,advances.wished.sneezing,,29.896235,31.265867
Al Hawamdeyya Bus Station,cares.suggested.unite,,29.896284,31.265852
Al Hayat Islamic School - Marg,decreased.rumbles.tickling,,30.189718,31.351118
Al Hays Pastery - Nozha St,classmate.trailer.vertical,,30.104248,31.343832
Al Hays Pastery - Nozha St,remake.tropic.promotion,,30.104288,31.343609
Al Hegaz Square,airbase.salt.meant,,30.111448,31.345436
Al Hegaz Square,crunching.grad.fetches,,30.111034,31.34553
Al Hegaz Square,mountain.cement.novel,,30.110619,31.346281
Al Helmeya Square - Heliopolis,closes.regime.cabbies,,30.112038,31.316622
Al Helmeya Square - Heliopolis,generated.friends.thrashed,,30.112032,31.316292
Al Helmiya Garden - Gesr Al Suez,fuses.decorate.shutting,,30.108894,31.32707
Al Helmiya Garden - Gesr Al Suez,lays.multiple.magazines,,30.108757,31.327242
Al Hennawy Furniture - Airport Road,fights.waddled.operation,El-Hennawy Furniture 'Eastbound',30.124329,31.376574
Al Hennawy Furniture - Airport Road,riskiest.newlywed.mocked,El-Hennawy Furniture 'Westbound',30.12446,31.376423
Al Herafyeen - Gesr Al Suez,solicitor.sprawls.eyelash,,30.136904,31.387648
Al Herafyeen - Gesr Al Suez,tricycle.adhesive.them,,30.136763,31.387785
Al Hikma Labs - Nohza St,gadgets.barefoot.regularly,,30.107208,31.344374
Al Hikma Labs - Nohza St,hobbies.disarmed.laugh,,30.107159,31.344564
Al Horia Square - Maadi,pleasing.just.hunk,,29.959663,31.254349
Al Horreya Square,invoices.yelled.shuttling,,30.168861,31.602583
Al Horreya Square,petted.hardback.fatherly,,30.167946,31.602236
Al Hossary,advising.sideburns.blur,,29.973577,30.943935
Al Howaify Ceramics - Terat Al Sawahil St,prank.loudness.cluttered,,30.075298,31.211945
Al Huda Mosuqe - Al Moski,penned.stocky.lyrics,,30.052176,31.256748
Al Huda Mosuqe - Al Moski,youths.boating.sunbeam,,30.052002,31.256573
Al Hussein Hospital - Daraasa,coarser.alerting.gangs,,30.04557,31.267014
Al Imam Al Shafei Cemetaries - Autostrad,coping.beauty.grips,,30.012442,31.267273
Al Ismailiya Square,impressed.newly.snapper,,30.096697,31.334877
Al Ismailiya Square,scream.amaze.decays,,30.096487,31.334917
Al Itihadeya,grub.foggy.sweeter,,30.090296,31.31988
Al Itihadeya,revised.sisters.buzzards,,30.090559,31.31984
Al Kahraba Hosuing Complex,convinced.coughed.waxing,,29.872654,31.289335
Al Kahraba Hosuing Complex,gloom.empty.huddled,,29.872765,31.289448
Al Kahraba Street - Nasr City,imprinted.restores.familiar,,30.0502,31.389242
Al Kahraba Street - Nasr City,latched.propelled.abstracts,,30.05003,31.389256
Al Kasr Al Aini Hospital,cuddling.alcove.upsetting,,30.029202,31.231014
Al Kasr Al Aini Hospital,risky.evolves.startles,,30.030825,31.232525
Al Kasr Al Aini Hospital,walking.shower.regress,,30.030737,31.23078
Al Kawetch - Matareyya,bitter.labels.hurry,,30.128681,31.296139
Al Kawetch - Matareyya,sues.teams.oiled,,30.128363,31.296206
Al Kersh Cars - Heliopolis,meant.coasters.appointed,El Kersh Cars 'eastbound',30.084259,31.325857
Al Kersh Cars - Heliopolis,outboard.cleansed.switched,,30.084429,31.325838
Al Khalafawy Square,animals.shower.marzipan,,30.098013,31.24538
Al Khalafawy Square,half.forever.demanding,,30.09797,31.24551
Al Khanka - Al Salam Road,quickly.cubes.panicking,,30.227777,31.358488
Al Khanka Local Unit,uttering.stunt.actors,,30.223242,31.359228
Al Khanka Terminal,performs.joys.souk,,30.22,31.371689
Al Khankah Police Station,snapped.fracture.mysteries,,30.228369,31.362186
Al Khashab Bridge,hulk.allies.lump,,30.009602,31.227407
Al Khashab Bridge,mule.lovely.brightens,,30.009604,31.22727
Al Khelaa,holdings.outboard.gasp,,30.017752,31.264547
Al Khelaa,milder.deed.dolls,,30.017385,31.264917
Al Khelaa,wishes.incursion.spindles,,30.017504,31.264744
Al Khosous,roost.punch.playback,,30.15803,31.320232
Al Khosous Bus Station,daring.elbowing.demand,,30.162842,31.322893
Al Khosous Bus Station,primed.lease.cleanest,,30.16287,31.323223
